2025-03-17 21:05:38.161 [info] Extension host with pid 284360 started
2025-03-17 21:05:38.161 [error] Error: EEXIST: file already exists, open '/root/.vscode-server/data/User/workspaceStorage/99125c4b3bde653cbaa6c15da80dd38a/vscode.lock'
2025-03-17 21:05:38.165 [info] Lock '/root/.vscode-server/data/User/workspaceStorage/99125c4b3bde653cbaa6c15da80dd38a/vscode.lock': Could not acquire lock, checking if the file is stale.
2025-03-17 21:05:38.172 [info] Lock '/root/.vscode-server/data/User/workspaceStorage/99125c4b3bde653cbaa6c15da80dd38a/vscode.lock': The pid 283968 appears to be gone.
2025-03-17 21:05:38.172 [info] Lock '/root/.vscode-server/data/User/workspaceStorage/99125c4b3bde653cbaa6c15da80dd38a/vscode.lock': Deleting a stale lock.
2025-03-17 21:05:38.183 [info] Lock '/root/.vscode-server/data/User/workspaceStorage/99125c4b3bde653cbaa6c15da80dd38a/vscode.lock': Lock acquired.
2025-03-17 21:05:38.447 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: false, activationEvent: '*', root cause: vscode.git
2025-03-17 21:05:38.451 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2025-03-17 21:05:38.453 [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:javascript'
2025-03-17 21:05:38.453 [info] ExtensionService#_doActivateExtension vscode.html-language-features, startup: false, activationEvent: 'onLanguage:html'
2025-03-17 21:05:39.910 [info] ExtensionService#_doActivateExtension vscode.git, startup: false, activationEvent: '*'
2025-03-17 21:05:39.910 [info] ExtensionService#_doActivateExtension vscode.github, startup: false, activationEvent: '*'
2025-03-17 21:05:40.566 [info] ExtensionService#_doActivateExtension vscode.npm, startup: true, activationEvent: 'workspaceContains:package.json'
2025-03-17 21:05:41.120 [info] ExtensionService#_doActivateExtension vscode.tunnel-forwarding, startup: false, activationEvent: 'onTunnel'
2025-03-17 21:05:43.262 [info] Eager extensions activated
2025-03-17 21:05:43.268 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2025-03-17 21:05:43.269 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
2025-03-17 21:05:48.702 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2025-03-17 21:05:48.705 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2025-03-17 21:05:48.705 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
